token,datasets_count,total_rows,missing_values,missing_percentage,datasets
uniswap,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
acala,5,3645,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
alpaca-finance,5,3645,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
balancer,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
numeraire,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
aura-finance,10,7289,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
aerodrome-finance,5,3645,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
frax-share,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
bonfida,5,3645,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
uma,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
spell-token,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
1inch,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
ethereum-classic,5,3645,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
0x,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
injective-protocol,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
smardex,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
polkastarter,10,7289,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
tokemak,10,7289,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
dia-data,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
badger-dao,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
tranchess,5,3645,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
osmosis,5,3645,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
magic-internet-money,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
cryptex-finance,10,7289,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
yearn-finance,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
ramp,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
stake-dao,10,7289,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
ellipsis,5,3645,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
melon,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
trustswap,10,7289,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
seth,10,7289,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
api3,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
raydium,10,7289,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
dexe,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
olympus,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
lido-dao,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
thorchain,5,3645,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
convex-finance,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
oraichain-token,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
liquity-usd,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
chainlink,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
harvest-finance,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
hegic,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
adshares,5,3645,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
cow-protocol,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
hashflow,10,7289,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
telcoin,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
bancor,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
lever,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
coin98,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
rocket-pool,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
marlin,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
velo,4,2916,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
dydx,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
band-protocol,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
insure,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
step-finance,5,3645,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
paraswap,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
frax,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
vvs-finance,4,2916,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
aave,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
